Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.11     0.00       13     0.00     0.00  void std::_Destroy<Vec3<float>*>(Vec3<float>*, Vec3<float>*)
  0.00      0.11     0.00       13     0.00     0.00  void std::_Destroy<Vec3<float>*, Vec3<float> >(Vec3<float>*, Vec3<float>*, std::allocator<Vec3<float> >&)
  0.00      0.11     0.00       12     0.00     0.00  __gnu_cxx::new_allocator<Vec3<float> >::deallocate(Vec3<float>*, unsigned long)
  0.00      0.11     0.00       12     0.00     0.00  __gnu_cxx::new_allocator<Vec3<float> >::allocate(unsigned long, void const*)
  0.00      0.11     0.00       12     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<Vec3<float> > >::deallocate(std::allocator<Vec3<float> >&, Vec3<float>*, unsigned long)
  0.00      0.11     0.00       12     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<Vec3<float> > >::allocate(std::allocator<Vec3<float> >&, unsigned long)
  0.00      0.11     0.00       12     0.00     0.00  __gnu_cxx::__normal_iterator<Vec3<float>*, std::vector<Vec3<float>, std::allocator<Vec3<float> > > >::difference_type __gnu_cxx::operator-<Vec3<float>*, std::vector<Vec3<float>, std::allocator<Vec3<float> > > >(__gnu_cxx::__normal_iterator<Vec3<float>*, std::vector<Vec3<float>, std::allocator<Vec3<float> > > > const&, __gnu_cxx::__normal_iterator<Vec3<float>*, std::vector<Vec3<float>, std::allocator<Vec3<float> > > > const&)
  0.00      0.11     0.00       12     0.00     0.00  std::vector<Vec3<float>, std::allocator<Vec3<float> > >::_M_check_len(unsigned long, char const*) const
  0.00      0.11     0.00       12     0.00     0.00  std::_Vector_base<Vec3<float>, std::allocator<Vec3<float> > >::_M_allocate(unsigned long)
  0.00      0.11     0.00       12     0.00     0.00  std::vector<Vec3<float>, std::allocator<Vec3<float> > >::_M_insert_aux(__gnu_cxx::__normal_iterator<Vec3<float>*, std::vector<Vec3<float>, std::allocator<Vec3<float> > > >, Vec3<float> const&)
  0.00      0.11     0.00       12     0.00     0.00  std::vector<Vec3<float>, std::allocator<Vec3<float> > >::end()
  0.00      0.11     0.00       12     0.00     0.00  std::vector<Vec3<float>, std::allocator<Vec3<float> > >::begin()
  0.00      0.11     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN5ModelC2EPKc
  0.00      0.11     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN8TGAImageC2Ev
  0.00      0.11     0.00        1     0.00     0.00  _GLOBAL__sub_I_model
  0.00      0.11     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.11     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.11     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.11     0.00        1     0.00    10.00  Model::Model(char const*)
  0.00      0.11     0.00        1     0.00     0.00  Model::~Model()
  0.00      0.11     0.00        1     0.00    70.02  TGAImage::write_tga_file(char const*, bool)
  0.00      0.11     0.00        1     0.00     0.00  TGAImage::flip_vertically()
  0.00      0.11     0.00        1     0.00     0.00  TGAImage::TGAImage(int, int, int)
  0.00      0.11     0.00        1     0.00     0.00  TGAImage::~TGAImage()
  0.00      0.11     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<Vec3<float> >::new_allocator()
  0.00      0.11     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<Vec3<float> >::~new_allocator()
  0.00      0.11     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::vector<int, std::allocator<int> > >::new_allocator()
  0.00      0.11     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::vector<int, std::allocator<int> > >::~new_allocator()
  0.00      0.11     0.00        1     0.00     0.00  std::allocator<Vec3<float> >::allocator()
  0.00      0.11     0.00        1     0.00     0.00  std::allocator<Vec3<float> >::~allocator()
  0.00      0.11     0.00        1     0.00     0.00  std::allocator<std::vector<int, std::allocator<int> > >::allocator()
  0.00      0.11     0.00        1     0.00     0.00  std::allocator<std::vector<int, std::allocator<int> > >::~allocator()
  0.00      0.11     0.00        1     0.00     0.00  std::_Vector_base<Vec3<float>, std::allocator<Vec3<float> > >::_Vector_impl::_Vector_impl()
  0.00      0.11     0.00        1     0.00     0.00  std::_Vector_base<Vec3<float>, std::allocator<Vec3<float> > >::_Vector_impl::~_Vector_impl()
  0.00      0.11     0.00        1     0.00     0.00  std::_Vector_base<Vec3<float>, std::allocator<Vec3<float> > >::_Vector_base()
